match_id,battle_id,order,camp,type,hero
2026012301,836780560_4_1769150331,11,1,ban,蚩奼
2026012301,836780560_4_1769150331,12,2,ban,司空震
2026012301,836780560_4_1769150331,13,1,ban,杨玉环
2026012301,836780560_4_1769150331,14,2,ban,夏洛特
2026012301,836780560_4_1769150331,15,1,ban,狂铁
2026012301,836780560_4_1769150331,16,2,pick,沈梦溪
2026012301,836780560_4_1769150331,17,1,pick,戈娅
2026012301,836780560_4_1769150331,18,1,pick,蒙恬
2026012301,836780560_4_1769150331,19,2,pick,影
2026012501,48251408_53_1769320953,0,1,ban,元流之子(辅助)
2026012501,48251408_53_1769320953,1,2,ban,盾山
2026012501,48251408_53_1769320953,2,1,ban,沈梦溪
2026012501,48251408_53_1769320953,3,2,ban,元流之子(坦克)
2026012501,48251408_53_1769320953,4,1,pick,空空儿
2026012501,48251408_53_1769320953,5,2,pick,鲁班大师
2026012501,48251408_53_1769320953,6,2,pick,狂铁
2026012501,48251408_53_1769320953,7,1,pick,镜
2026012501,48251408_53_1769320953,8,1,pick,敖隐
2026012501,48251408_53_1769320953,9,2,pick,艾琳
2026012501,48251408_53_1769320953,10,2,ban,关羽
2026012501,48251408_53_1769320953,11,1,ban,云缨
2026012501,48251408_53_1769320953,12,2,ban,小乔
2026012501,48251408_53_1769320953,13,1,ban,海月
2026012501,48251408_53_1769320953,14,2,ban,吕布
2026012501,48251408_53_1769320953,15,1,ban,海诺
2026012501,48251408_53_1769320953,16,2,pick,王昭君
2026012501,48251408_53_1769320953,17,1,pick,白起
2026012501,48251408_53_1769320953,18,1,pick,安琪拉
2026012501,48251408_53_1769320953,19,2,pick,哪吒
2026011803,1222656528_14_1768742623,0,1,ban,盾山
2026011803,1222656528_14_1768742623,1,2,ban,蚩奼
2026011803,1222656528_14_1768742623,2,1,ban,狄仁杰
2026011803,1222656528_14_1768742623,3,2,ban,公孙离
2026011803,1222656528_14_1768742623,4,1,pick,鲁班大师
2026011803,1222656528_14_1768742623,5,2,pick,元流之子(辅助)
2026011803,1222656528_14_1768742623,6,2,pick,敖隐
2026011803,1222656528_14_1768742623,7,1,pick,女娲
2026011803,1222656528_14_1768742623,8,1,pick,马超
2026011803,1222656528_14_1768742623,9,2,pick,不知火舞
2026011803,1222656528_14_1768742623,10,2,ban,扁鹊
2026011803,1222656528_14_1768742623,11,1,ban,镜
2026011803,1222656528_14_1768742623,12,2,ban,大司命
2026011803,1222656528_14_1768742623,13,1,ban,宫本武藏
2026011803,1222656528_14_1768742623,14,2,ban,夏侯惇
2026011803,1222656528_14_1768742623,15,1,ban,关羽
2026011803,1222656528_14_1768742623,16,2,pick,曹操
2026011803,1222656528_14_1768742623,17,1,pick,李元芳
2026011803,1222656528_14_1768742623,18,1,pick,杨戬
2026011803,1222656528_14_1768742623,19,2,pick,铠
2026011403,1222656528_9_1768402179,0,1,ban,鲁班大师
2026011403,1222656528_9_1768402179,1,2,ban,盾山
2026011403,1222656528_9_1768402179,2,1,ban,苏烈
2026011403,1222656528_9_1768402179,3,2,ban,空空儿
2026011403,1222656528_9_1768402179,4,1,pick,海月
2026011403,1222656528_9_1768402179,5,2,pick,苍
