match_id,battle_id,team,player,hero,kill,death,assist,kda,gold,win
2026011803,1222656528_14_1768742623,长沙TES.A,景诗,不知火舞,0,1,3,3.0,11370,0
2026011803,1222656528_14_1768742623,北京WB,暖阳,杨戬,3,0,5,8.0,15800,1
2026011403,1222656528_9_1768402179,成都AG超玩会,大帅,太乙真人,0,3,6,2.0,7031,0
2026011403,1222656528_9_1768402179,成都AG超玩会,染详,暃,4,2,2,3.0,11462,0
2026011403,1222656528_9_1768402179,成都AG超玩会,小凡,甄姬,0,2,4,2.0,7387,0
2026011403,1222656528_9_1768402179,成都AG超玩会,小俞,苍,3,3,3,2.0,10467,0
2026011403,1222656528_9_1768402179,北京WB,听悦,海月,2,2,4,3.0,8841,1
2026011403,1222656528_9_1768402179,成都AG超玩会,轩染,狂铁,0,2,3,1.5,8055,0
2026011403,1222656528_9_1768402179,北京WB,玖欣,廉颇,1,2,8,4.5,7467,1
2026011403,1222656528_9_1768402179,北京WB,小麦,戈娅,3,1,6,9.0,12093,1
2026011403,1222656528_9_1768402179,北京WB,梓墨,关羽,4,1,4,8.0,9603,1
2026011403,1222656528_9_1768402179,北京WB,暖阳,云缨,2,1,8,10.0,10506,1
2026012403,48251408_50_1769262469,无锡TCG,光明,狂铁,0,2,3,1.5,6535,0
2026012403,48251408_50_1769262469,无锡TCG,安凉,马超,0,2,3,1.5,8779,0
2026012403,48251408_50_1769262469,北京WB,听悦,女娲,3,1,6,9.0,7290,1
2026012403,48251408_50_1769262469,无锡TCG,北觅,公孙离,3,2,1,2.0,6939,0
2026012403,48251408_50_1769262469,北京WB,玖欣,墨子,0,2,8,4.0,5253,1
2026012403,48251408_50_1769262469,北京WB,小麦,戈娅,3,1,5,8.0,8122,1
2026012403,48251408_50_1769262469,无锡TCG,清弦,杨玉环,1,3,1,0.7,5188,0
2026012403,48251408_50_1769262469,北京WB,梓墨,夏洛特,1,1,6,7.0,8020,1
2026012403,48251408_50_1769262469,北京WB,暖阳,阿古朵,3,0,6,9.0,9228,1
2026012403,48251408_50_1769262469,无锡TCG,数字,少司缘,1,1,4,5.0,5240,0
2026011603,836780560_6_1768569944,杭州LGD.NBW,米苏,大司命,1,4,0,0.3,7023,0
